manufacturer,name,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,report_date,sources,sources_hash,gwp_error_ratio,gwp_manufacturing_ratio,weight,assembly_location,screen_size,server_type,hard_drive,memory,number_cpu,height,added_date,add_method,gwp_transport_ratio,,,,,,,,Annual Emission,Daily Emissions
Apple,21.5-inch iMac with Retina 4K display (3.0GHz 6-core CPU) 1TB - 2019,Workplace,Desktop,596,0.51,,3,WW,19-Mar,https://www.apple.com/environment/pdf/products/desktops/21.5-inch_iMac_with_Retina4KDisplay_PER_Mar2019.pdf,e0c27f080765187951c511324e97d16c,0,0.43,,,21.5,,1024GB,,,,30-05-2022,Manual,0.05,,,,,,,,198.6666667,0.544292237
Apple,21.5-inch iMac with Retina 4K display (3.6GHz quad-core CPU) 1TB - 2019,Workplace,Desktop,588,0.51,,3,WW,19-Mar,https://www.apple.com/environment/pdf/products/desktops/21.5-inch_iMac_with_Retina4KDisplay_PER_Mar2019.pdf,e0c27f080765187951c511324e97d16c,0,0.43,,,21.5,,1024GB,,,,30-05-2022,Manual,0.05,,,,,,,,196,0.536986301
Apple,24-inch iMac with 4.5K Retina display (M1 CPU and 7-core GPU) 256GB - 2021,Workplace,Desktop,481,0.44,,3,WW,21-Apr,https://www.apple.com/environment/pdf/products/desktops/24-inch_iMac_PER_Apr2021.pdf,d4a27f7246f0d00e7b07b79369b188e2,0,0.45,,,24,,256GB,,,,30-05-2022,Manual,0.1,,,,,,,,160.3333333,0.439269406
Apple,24-inch iMac with 4.5K Retina display (M1 CPU and 8-core GPU) 256GB - 2021,Workplace,Desktop,486,0.44,,3,WW,21-Apr,https://www.apple.com/environment/pdf/products/desktops/24-inch_iMac_PER_Apr2021.pdf,d4a27f7246f0d00e7b07b79369b188e2,0,0.45,,,24,,256GB,,,,30-05-2022,Manual,0.1,,,,,,,,162,0.443835616
Apple,24-inch iMac with 4.5K Retina display (M1 CPU and 8-core GPU) 512GB - 2021,Workplace,Desktop,511,0.44,,3,WW,21-Apr,https://www.apple.com/environment/pdf/products/desktops/24-inch_iMac_PER_Apr2021.pdf,d4a27f7246f0d00e7b07b79369b188e2,0,0.45,,,24,,512GB,,,,30-05-2022,Manual,0.1,,,,,,,,170.3333333,0.466666667
Apple,27-inch iMac with 5K Retina display (3.0GHz 6-core CPU) 1TB - 2019,Workplace,Desktop,938,0.45,,3,WW,20-Aug,https://www.apple.com/environment/pdf/products/desktops/27-inch_iMac_with_Retina5KDisplay_PER_Aug2020.pdf,ddf7f272f4943d265dcfa9497a952f00,0,0.46,,,27,,1024GB,,,,30-05-2022,Manual,0.08,,,,,,,,312.6666667,0.856621005
Apple,27-inch iMac with 5K Retina display (3.1GHz 6-core CPU) 1TB - 2019,Workplace,Desktop,938,0.45,,3,WW,20-Aug,https://www.apple.com/environment/pdf/products/desktops/27-inch_iMac_with_Retina5KDisplay_PER_Aug2020.pdf,ddf7f272f4943d265dcfa9497a952f00,0,0.46,,,27,,1024GB,,,,30-05-2022,Manual,0.08,,,,,,,,312.6666667,0.856621005
Apple,27-inch iMac with 5K Retina display (3.1GHz 6-core CPU) 256GB - 2020,Workplace,Desktop,824,0.45,,3,WW,20-Aug,https://www.apple.com/environment/pdf/products/desktops/27-inch_iMac_with_Retina5KDisplay_PER_Aug2020.pdf,ddf7f272f4943d265dcfa9497a952f00,0,0.46,,,27,,256GB,,,,30-05-2022,Manual,0.08,,,,,,,,274.6666667,0.752511416
Apple,27-inch iMac with 5K Retina display (3.3GHz 6-core CPU) 512GB - 2020,Workplace,Desktop,857,0.45,,3,WW,20-Aug,https://www.apple.com/environment/pdf/products/desktops/27-inch_iMac_with_Retina5KDisplay_PER_Aug2020.pdf,ddf7f272f4943d265dcfa9497a952f00,0,0.46,,,27,,512GB,,,,30-05-2022,Manual,0.08,,,,,,,,285.6666667,0.782648402
Apple,27-inch iMac with 5K Retina display (3.7GHz 6-core CPU) 2TB - 2019,Workplace,Desktop,951,0.45,,3,WW,20-Aug,https://www.apple.com/environment/pdf/products/desktops/27-inch_iMac_with_Retina5KDisplay_PER_Aug2020.pdf,ddf7f272f4943d265dcfa9497a952f00,0,0.46,,,27,,2048GB,,,,30-05-2022,Manual,0.08,,,,,,,,317,0.868493151
Apple,27-inch iMac with 5K Retina display (3.8GHz 8-core CPU) 512GB - 2020,Workplace,Desktop,858,0.45,,3,WW,20-Aug,https://www.apple.com/environment/pdf/products/desktops/27-inch_iMac_with_Retina5KDisplay_PER_Aug2020.pdf,ddf7f272f4943d265dcfa9497a952f00,0,0.46,,,27,,512GB,,,,30-05-2022,Manual,0.08,,,,,,,,286,0.783561644
Apple,Apple Studio Display with tilt-adjustable stand,Workplace,Monitor,544,0.56,,3.5,WW,March 18 2022,https://www.apple.com/environment/pdf/products/displays/Apple_Studio_Display_PER_March2022.pdf,de30d9d40d0e8c9547002b59774dc3f5,,0.38,,,,,,,,,18-10-2022,Apple Auto Parser,0.05,0.01,,,,,,,155.4285714,0.425831703
